# mjd counts counts_error
5.893237054443359375e+04 -8.466602874219919528e+00 1.285842340361977598e+01
5.893239141845703125e+04 -1.085092649481423877e+01 7.303570267622437662e+00
5.893241223144531250e+04 -1.531054117140040916e+00 5.112272477365457313e+00
5.893243304443359375e+04 -4.641915673810689924e+00 5.972803502817289889e+00
5.893245391845703125e+04 -4.432728329676269396e+00 5.872152774786542295e+00
5.893247473144531250e+04 -6.095141727406076626e+00 5.882461488315398057e+00
5.893249554443359375e+04 -2.710933666896874428e+00 8.297656902425417869e+00
5.893251641845703125e+04 -1.211899605547397840e+00 5.450208587664826076e+00
5.893253723144531250e+04 -6.976065713647674471e+00 3.566254700912688591e+00
5.893255804443359375e+04 -7.094890101262560478e+00 7.464805837651153020e+00
5.893257891845703125e+04 -7.329817015553611981e+00 8.572221640017115618e+00
5.893259973144531250e+04 -8.815452145011182239e+00 9.067963267103671399e+00
5.893262054443359375e+04 -6.160195998361867709e+00 6.791756356613687373e+00
5.893264141845703125e+04 -5.211849734710167326e+00 5.235112601385028874e+00
5.893266223144531250e+04 -5.845437772345576377e+00 4.715522136201252934e+00
5.893268304443359375e+04 -9.243468842178724998e+00 6.656425802863757291e+00
5.893270391845703125e+04 -7.981433888281490141e+00 6.799741518748382951e+00
5.893272473144531250e+04 -4.247863005233458722e+00 4.683950115931045488e+00
5.893274554443359375e+04 -6.508893966592779634e+00 6.025170054339937131e+00
5.893276641845703125e+04 -1.100614782263276936e+01 8.984367813103588674e+00
5.893278723144531250e+04 -3.661741904651993451e+00 6.581479625034805991e+00
5.893280804443359375e+04 -4.637187212406228554e+00 4.804803653109092743e+00
5.893282891845703125e+04 -5.481318943902618201e+00 4.956808432951274490e+00
5.893284973144531250e+04 -7.123585692206464870e+00 6.503046628937508622e+00
5.893287054443359375e+04 -6.472370933208646981e+00 1.278066911528116201e+01
5.893289141845703125e+04 -1.073453121752173445e+01 7.815736416223066918e+00
5.893291223144531250e+04 -5.565079730736417929e+00 9.301629868448191729e+00
5.893293304443359375e+04 -8.658279619958960893e+00 4.766242260711091916e+00
5.893295391845703125e+04 -4.904650059353112823e+00 5.205530688596121003e+00
5.893297473144531250e+04 -7.455125748681222575e+00 6.362083338899842566e+00
5.893299554443359375e+04 -5.330981637716657673e+00 6.658852681057056522e+00
5.893301641845703125e+04 -1.073320003029100533e+01 4.747977773175764860e+00
5.893303723144531250e+04 -1.140374024808926734e+01 1.065428685058738623e+01
5.893305804443359375e+04 -6.058097524748593088e+00 1.123315826091684677e+01
5.893307891845703125e+04 -1.047917404637297523e+01 8.302023957538445131e+00
5.893309973144531250e+04 -8.869164257348526093e+00 1.158450496658898388e+01
5.893312054443359375e+04 -4.025284652771574656e+00 6.995498260669807955e+00
5.893314141845703125e+04 -1.238997114864490712e+00 9.177680756381045413e+00
5.893316223144531250e+04 -3.542529828219887378e+00 6.404848442877576709e+00
5.893318304443359375e+04 -6.536273678103675877e+00 1.439149705161015547e+01
5.893320391845703125e+04 -8.861540337116759147e+00 1.013657706099027678e+01
5.893322473144531250e+04 -7.981283070448068173e+00 1.175693946647741583e+01
5.893324554443359375e+04 -9.962145782218081891e+00 1.555013397500391292e+01
5.893326641845703125e+04 -7.847298938954462955e+00 1.432227546966431220e+01
5.893328723144531250e+04 -9.446152301874576551e+00 1.685126430704378464e+01
5.893330804443359375e+04 -1.468929235393653343e+01 1.439801794931087642e+01
5.893332891845703125e+04 -1.129582071294147916e+01 2.403258675532650557e+01
5.893334973144531250e+04 -1.131544044988047659e+01 2.195121392857415188e+01
5.893337054443359375e+04 -1.202375760000738936e+01 2.066282758737052916e+01
5.893339141845703125e+04 -1.892079126720310001e+01 1.887288834713936225e+01
5.893341223144531250e+04 -2.005443763882699315e+01 2.639313104133578491e+01
5.893343304443359375e+04 -7.467027486665332781e+00 1.782441279769289721e+01
5.893345391845703125e+04 -6.959465569480208558e+00 1.619446983665211448e+01
5.893347473144531250e+04 -9.326118232228783000e+00 2.419578327872917711e+01
5.893349554443359375e+04 -9.877180705816297035e+00 2.232536476420192173e+01
5.893351641845703125e+04 -1.236025277060199201e+01 2.096082434420719309e+01
5.893353723144531250e+04 -1.393001486558598856e+01 2.703225255221973811e+01
5.893355804443359375e+04 -1.677898843551585983e+01 2.825943346235349907e+01
5.893357891845703125e+04 -1.469228272704390648e+01 2.470362568567260908e+01
