time,magnitude,e_magnitude,zp,e_zp,band,instrument,upperlimit,z
58943.412170410156,15.282397307691555,0.3369980472436032,-48.6,0.02,tess,=-tess,False,0.00744
58944.20379638672,15.573722735904866,0.24405882462106165,-48.6,0.02,tess,=-tess,False,0.00744
58944.224670410156,15.644461910836899,0.21350584007542012,-48.6,0.02,tess,=-tess,False,0.00744
58944.24548339844,15.585608926872311,0.2532380791306641,-48.6,0.02,tess,=-tess,False,0.00744
58944.26629638672,15.46730151025481,0.16612414218999494,-48.6,0.02,tess,=-tess,False,0.00744
58944.287170410156,15.498919901141647,0.16772136668665472,-48.6,0.02,tess,=-tess,False,0.00744
58944.30798339844,15.452061649654894,0.16519844609398196,-48.6,0.02,tess,=-tess,False,0.00744
58944.32879638672,15.445997589336544,0.17728266011395138,-48.6,0.02,tess,=-tess,False,0.00744
58944.349670410156,15.601812178894438,0.19533059070949216,-48.6,0.02,tess,=-tess,False,0.00744
58944.37048339844,15.572461560801264,0.19581823004154325,-48.6,0.02,tess,=-tess,False,0.00744
58944.39129638672,15.517164210578315,0.2115553534759109,-48.6,0.02,tess,=-tess,False,0.00744
58944.412170410156,15.496651477352877,0.14770615320015018,-48.6,0.02,tess,=-tess,False,0.00744
58944.43298339844,15.472778246890499,0.215575393094731,-48.6,0.02,tess,=-tess,False,0.00744
58944.45379638672,15.53922843218642,0.15752756668036827,-48.6,0.02,tess,=-tess,False,0.00744
58944.474670410156,15.443183723379047,0.15379401561118033,-48.6,0.02,tess,=-tess,False,0.00744
58944.49548339844,15.517246134236073,0.15955098972638798,-48.6,0.02,tess,=-tess,False,0.00744
58944.51629638672,15.4776177830763,0.17702979572523514,-48.6,0.02,tess,=-tess,False,0.00744
58944.537170410156,15.471763932707475,0.16344446612384247,-48.6,0.02,tess,=-tess,False,0.00744
58944.55798339844,15.502259055405599,0.16476563421084148,-48.6,0.02,tess,=-tess,False,0.00744
58944.57879638672,15.460985697803068,0.20855995721569665,-48.6,0.02,tess,=-tess,False,0.00744
58944.599670410156,15.460707243977366,0.1576345646861673,-48.6,0.02,tess,=-tess,False,0.00744
58944.62048339844,15.466869131191366,0.16703987011550464,-48.6,0.02,tess,=-tess,False,0.00744
58944.64129638672,15.469973842423505,0.20315544643242966,-48.6,0.02,tess,=-tess,False,0.00744
58944.662170410156,15.43335316538414,0.15543521517637363,-48.6,0.02,tess,=-tess,False,0.00744
58944.68298339844,15.45381540463989,0.1720147235067974,-48.6,0.02,tess,=-tess,False,0.00744
58944.70379638672,15.463933288192495,0.19966281267911418,-48.6,0.02,tess,=-tess,False,0.00744
58944.724670410156,15.48987147714167,0.19099964349953877,-48.6,0.02,tess,=-tess,False,0.00744
58944.74548339844,15.44206139134854,0.19238852083979016,-48.6,0.02,tess,=-tess,False,0.00744
58944.76629638672,15.43540332920521,0.17715755969304664,-48.6,0.02,tess,=-tess,False,0.00744
58944.787170410156,15.446830917047045,0.2238771408407501,-48.6,0.02,tess,=-tess,False,0.00744
58944.80798339844,15.461533233074373,0.18461804492138603,-48.6,0.02,tess,=-tess,False,0.00744
58944.82879638672,15.364283059863963,0.1725520763269472,-48.6,0.02,tess,=-tess,False,0.00744
58944.849670410156,15.351668375532801,0.18163527995639692,-48.6,0.02,tess,=-tess,False,0.00744
58944.87048339844,15.409331216622208,0.19455581407529596,-48.6,0.02,tess,=-tess,False,0.00744
58944.89129638672,15.45026061079625,0.22070955535378028,-48.6,0.02,tess,=-tess,False,0.00744
58944.912170410156,15.336906041321964,0.17553470273698285,-48.6,0.02,tess,=-tess,False,0.00744
58944.93298339844,15.475455293679738,0.20981687014826317,-48.6,0.02,tess,=-tess,False,0.00744
58944.95379638672,15.558628386366856,0.2169728634281834,-48.6,0.02,tess,=-tess,False,0.00744
58944.974670410156,15.535186345410414,0.14209723847462696,-48.6,0.02,tess,=-tess,False,0.00744
58944.99548339844,15.542434347475687,0.15317346768427187,-48.6,0.02,tess,=-tess,False,0.00744
58945.01629638672,15.413197890762344,0.1510402957268869,-48.6,0.02,tess,=-tess,False,0.00744
58945.037170410156,15.499911707296889,0.1530270806067989,-48.6,0.02,tess,=-tess,False,0.00744
58945.05798339844,15.450569212282126,0.17953025441706985,-48.6,0.02,tess,=-tess,False,0.00744
58945.07879638672,15.4531007928299,0.15974910311280555,-48.6,0.02,tess,=-tess,False,0.00744
58945.099670410156,15.492257979241085,0.13749419702336224,-48.6,0.02,tess,=-tess,False,0.00744
58945.12048339844,15.479275990993719,0.1528390356044959,-48.6,0.02,tess,=-tess,False,0.00744
58945.14129638672,15.432102334016305,0.14886353282967416,-48.6,0.02,tess,=-tess,False,0.00744
58945.162170410156,15.423698363609468,0.14095025987845003,-48.6,0.02,tess,=-tess,False,0.00744
58945.18298339844,15.460212607704122,0.15587290285988373,-48.6,0.02,tess,=-tess,False,0.00744
58945.20379638672,15.413819069160294,0.1306455197205689,-48.6,0.02,tess,=-tess,False,0.00744
58945.224670410156,15.474867736452236,0.14461899476706894,-48.6,0.02,tess,=-tess,False,0.00744
58945.24548339844,15.454144232004854,0.1214872182502478,-48.6,0.02,tess,=-tess,False,0.00744
58945.26629638672,15.473593707990917,0.16954831763205463,-48.6,0.02,tess,=-tess,False,0.00744
58945.287170410156,15.42840686511856,0.15505201997280535,-48.6,0.02,tess,=-tess,False,0.00744
58945.30798339844,15.46050526528826,0.1476126257562627,-48.6,0.02,tess,=-tess,False,0.00744
58945.32879638672,15.50571397060568,0.14515109178155816,-48.6,0.02,tess,=-tess,False,0.00744
58945.349670410156,15.421550368453632,0.14227554724053404,-48.6,0.02,tess,=-tess,False,0.00744
58945.37048339844,15.470038684305003,0.1445072212353729,-48.6,0.02,tess,=-tess,False,0.00744
58945.39129638672,15.448372882270906,0.15429263365653792,-48.6,0.02,tess,=-tess,False,0.00744
58945.412170410156,15.44515150811877,0.13091488577240035,-48.6,0.02,tess,=-tess,False,0.00744
58945.43298339844,15.489280547771948,0.15757510487511348,-48.6,0.02,tess,=-tess,False,0.00744
58945.45379638672,15.340602070860859,0.13968906044125903,-48.6,0.02,tess,=-tess,False,0.00744
58945.474670410156,15.43823331165305,0.14518056089370907,-48.6,0.02,tess,=-tess,False,0.00744
58945.49548339844,15.376924101122977,0.1395584742695328,-48.6,0.02,tess,=-tess,False,0.00744
58945.51629638672,15.40674897156553,0.14129970959581556,-48.6,0.02,tess,=-tess,False,0.00744
58945.537170410156,15.480887163306107,0.15786183677438234,-48.6,0.02,tess,=-tess,False,0.00744
58945.55798339844,15.42789572406583,0.1470862998974472,-48.6,0.02,tess,=-tess,False,0.00744
58945.57879638672,15.410154347674201,0.13383094264150946,-48.6,0.02,tess,=-tess,False,0.00744
58945.599670410156,15.454265196189688,0.1546653336980359,-48.6,0.02,tess,=-tess,False,0.00744
58945.62048339844,15.465437674273376,0.14742239484305436,-48.6,0.02,tess,=-tess,False,0.00744
58945.64129638672,15.42359200260079,0.14354116674991257,-48.6,0.02,tess,=-tess,False,0.00744
58945.662170410156,15.456596140522716,0.15028732412755202,-48.6,0.02,tess,=-tess,False,0.00744
58945.68298339844,15.465626931584039,0.14744831449854326,-48.6,0.02,tess,=-tess,False,0.00744
58945.70379638672,15.42493794368242,0.12928232405720558,-48.6,0.02,tess,=-tess,False,0.00744
58945.724670410156,15.473136784122813,0.12986386908004247,-48.6,0.02,tess,=-tess,False,0.00744
58945.74548339844,15.519386843813985,0.135054861054436,-48.6,0.02,tess,=-tess,False,0.00744
58945.76629638672,15.476060998811036,0.10337752268041059,-48.6,0.02,tess,=-tess,False,0.00744
58945.787170410156,15.482601092529428,0.11371017957103527,-48.6,0.02,tess,=-tess,False,0.00744
58945.80798339844,15.526696871493368,0.1277082428292984,-48.6,0.02,tess,=-tess,False,0.00744
58945.82879638672,15.444253562633808,0.12495146633733827,-48.6,0.02,tess,=-tess,False,0.00744
58945.849670410156,15.45392883904859,0.11421455567175169,-48.6,0.02,tess,=-tess,False,0.00744
58945.87048339844,15.462293551963224,0.11152230471726389,-48.6,0.02,tess,=-tess,False,0.00744
58945.89129638672,15.449114747677894,0.10922283674323974,-48.6,0.02,tess,=-tess,False,0.00744
58945.912170410156,15.487064773150916,0.12099845131409644,-48.6,0.02,tess,=-tess,False,0.00744
58945.93298339844,15.431951178450955,0.12021028835701877,-48.6,0.02,tess,=-tess,False,0.00744
58945.95379638672,15.5351079917252,0.1380705290881952,-48.6,0.02,tess,=-tess,False,0.00744
58945.974670410156,15.472087642315335,0.11810648205109434,-48.6,0.02,tess,=-tess,False,0.00744
58945.99548339844,15.460842040401847,0.10518143648159316,-48.6,0.02,tess,=-tess,False,0.00744
58946.01629638672,15.49214522945616,0.11265985028297577,-48.6,0.02,tess,=-tess,False,0.00744
58946.037170410156,15.530431179799429,0.12605517459672902,-48.6,0.02,tess,=-tess,False,0.00744
58946.05798339844,15.488090885318758,0.11752314245225919,-48.6,0.02,tess,=-tess,False,0.00744
58946.07879638672,15.461159004960049,0.1291232158045657,-48.6,0.02,tess,=-tess,False,0.00744
58946.099670410156,15.48460866353857,0.12692638972758244,-48.6,0.02,tess,=-tess,False,0.00744
58946.12048339844,15.477169458668133,0.11163259026320345,-48.6,0.02,tess,=-tess,False,0.00744
58946.14129638672,15.446774871320034,0.10279955050989562,-48.6,0.02,tess,=-tess,False,0.00744
58946.162170410156,15.499912810033598,0.12395778023026238,-48.6,0.02,tess,=-tess,False,0.00744
58946.18298339844,15.469465398800764,0.12458305748666776,-48.6,0.02,tess,=-tess,False,0.00744
58946.20379638672,15.445223808612077,0.11959085214020085,-48.6,0.02,tess,=-tess,False,0.00744
58946.224670410156,15.430264999479958,0.12406471690648518,-48.6,0.02,tess,=-tess,False,0.00744
58946.24548339844,15.478737257259667,0.10565792848244056,-48.6,0.02,tess,=-tess,False,0.00744
58946.26629638672,15.507943849275547,0.12482516548356722,-48.6,0.02,tess,=-tess,False,0.00744
58946.287170410156,15.473482139982048,0.11084944165228611,-48.6,0.02,tess,=-tess,False,0.00744
58946.30798339844,15.455350632726738,0.1123136701446848,-48.6,0.02,tess,=-tess,False,0.00744
58946.32879638672,15.463515373781924,0.11513328028067153,-48.6,0.02,tess,=-tess,False,0.00744
58946.349609375,15.458456391900512,0.10546709392374194,-48.6,0.02,tess,=-tess,False,0.00744
58946.37042236328,15.477812298758437,0.1246670512047734,-48.6,0.02,tess,=-tess,False,0.00744
58946.39129638672,15.486865495078623,0.1257345906672134,-48.6,0.02,tess,=-tess,False,0.00744
58946.412109375,15.438523563239709,0.1358354262972998,-48.6,0.02,tess,=-tess,False,0.00744
58946.43292236328,15.466325833132009,0.12960857120526295,-48.6,0.02,tess,=-tess,False,0.00744
58946.45379638672,15.472944491413777,0.1175739426505805,-48.6,0.02,tess,=-tess,False,0.00744
58946.474609375,15.467820241111285,0.10282235269431451,-48.6,0.02,tess,=-tess,False,0.00744
58946.49542236328,15.428753261706984,0.11169158403104273,-48.6,0.02,tess,=-tess,False,0.00744
58946.51629638672,15.47462042912122,0.10422063502023587,-48.6,0.02,tess,=-tess,False,0.00744
58946.537109375,15.443994634888531,0.11939048493790108,-48.6,0.02,tess,=-tess,False,0.00744
58946.55792236328,15.447379256701359,0.10323236971059471,-48.6,0.02,tess,=-tess,False,0.00744
58946.57879638672,15.424764774695321,0.12025439221973946,-48.6,0.02,tess,=-tess,False,0.00744
58946.599609375,15.485683123768588,0.11405003926045322,-48.6,0.02,tess,=-tess,False,0.00744
58946.62042236328,15.481336674097896,0.11781159257656065,-48.6,0.02,tess,=-tess,False,0.00744
58946.64129638672,15.49618568208516,0.12309782218695277,-48.6,0.02,tess,=-tess,False,0.00744
58946.662109375,15.44172023904315,0.11676424397720142,-48.6,0.02,tess,=-tess,False,0.00744
